game_id,date,home_team,away_team,home_odds,away_odds
CURR_BL_163,2027-02-06,Eintracht Frankfurt,1. FSV Mainz 05,2.0,2.0
CURR_BL_164,2027-02-06,Borussia Mönchengladbach,SC Freiburg,2.0,2.0
CURR_BL_165,2027-02-06,FC Schalke 04,1. FC Union Berlin,2.0,2.0
CURR_BL_166,2027-02-06,Hamburger SV,RB Leipzig,2.0,2.0
CURR_BL_167,2027-02-06,Bayer 04 Leverkusen,FC Augsburg,2.0,2.0
CURR_BL_168,2027-02-06,SV Werder Bremen,1. FC Köln,2.0,2.0
CURR_BL_169,2027-02-06,VfB Stuttgart,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_170,2027-02-06,FC Bayern München,SV 07 Elversberg,2.0,2.0
CURR_BL_171,2027-02-06,SC Paderborn 07,Borussia Dortmund,2.0,2.0
CURR_BL_172,2027-02-13,1. FC Köln,Hamburger SV,2.0,2.0
CURR_BL_173,2027-02-13,1. FSV Mainz 05,Borussia Mönchengladbach,2.0,2.0
CURR_BL_174,2027-02-13,1. FC Union Berlin,FC Bayern München,2.0,2.0
CURR_BL_175,2027-02-13,SV 07 Elversberg,FC Schalke 04,2.0,2.0
CURR_BL_176,2027-02-13,Borussia Dortmund,VfB Stuttgart,2.0,2.0
CURR_BL_177,2027-02-13,TSG 1899 Hoffenheim,SC Paderborn 07,2.0,2.0
CURR_BL_178,2027-02-13,SC Freiburg,Eintracht Frankfurt,2.0,2.0
CURR_BL_179,2027-02-13,FC Augsburg,SV Werder Bremen,2.0,2.0
CURR_BL_180,2027-02-13,RB Leipzig,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_181,2027-02-20,FC Schalke 04,SC Freiburg,2.0,2.0
CURR_BL_182,2027-02-20,VfB Stuttgart,SC Paderborn 07,2.0,2.0
CURR_BL_183,2027-02-20,Borussia Mönchengladbach,1. FC Köln,2.0,2.0
CURR_BL_184,2027-02-20,SV Werder Bremen,Borussia Dortmund,2.0,2.0
CURR_BL_185,2027-02-20,Hamburger SV,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_186,2027-02-20,Bayer 04 Leverkusen,1. FSV Mainz 05,2.0,2.0
CURR_BL_187,2027-02-20,Eintracht Frankfurt,RB Leipzig,2.0,2.0
CURR_BL_188,2027-02-20,FC Bayern München,FC Augsburg,2.0,2.0
CURR_BL_189,2027-02-20,SV 07 Elversberg,1. FC Union Berlin,2.0,2.0
CURR_BL_190,2027-02-27,VfB Stuttgart,Hamburger SV,2.0,2.0
CURR_BL_191,2027-02-27,1. FC Köln,Eintracht Frankfurt,2.0,2.0
CURR_BL_192,2027-02-27,SC Freiburg,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_193,2027-02-27,FC Augsburg,SV 07 Elversberg,2.0,2.0
CURR_BL_194,2027-02-27,1. FSV Mainz 05,FC Schalke 04,2.0,2.0
CURR_BL_195,2027-02-27,TSG 1899 Hoffenheim,Borussia Mönchengladbach,2.0,2.0
CURR_BL_196,2027-02-27,SC Paderborn 07,SV Werder Bremen,2.0,2.0
CURR_BL_197,2027-02-27,RB Leipzig,FC Bayern München,2.0,2.0
CURR_BL_198,2027-02-27,Borussia Dortmund,1. FC Union Berlin,2.0,2.0
CURR_BL_199,2027-03-03,Eintracht Frankfurt,Borussia Dortmund,2.0,2.0
CURR_BL_200,2027-03-03,FC Schalke 04,1. FC Köln,2.0,2.0
CURR_BL_201,2027-03-03,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_202,2027-03-03,FC Bayern München,SC Freiburg,2.0,2.0
CURR_BL_203,2027-03-03,SV Werder Bremen,1. FSV Mainz 05,2.0,2.0
CURR_BL_204,2027-03-03,1. FC Union Berlin,FC Augsburg,2.0,2.0
CURR_BL_205,2027-03-03,SV 07 Elversberg,RB Leipzig,2.0,2.0
CURR_BL_206,2027-03-03,Borussia Mönchengladbach,VfB Stuttgart,2.0,2.0
CURR_BL_207,2027-03-03,Hamburger SV,SC Paderborn 07,2.0,2.0
CURR_BL_208,2027-03-06,Borussia Dortmund,FC Bayern München,2.0,2.0
CURR_BL_209,2027-03-06,SC Freiburg,FC Augsburg,2.0,2.0
CURR_BL_210,2027-03-06,1. FSV Mainz 05,SV 07 Elversberg,2.0,2.0
CURR_BL_211,2027-03-06,Hamburger SV,Eintracht Frankfurt,2.0,2.0
CURR_BL_212,2027-03-06,VfB Stuttgart,Bayer 04 Leverkusen,2.0,2.0
CURR_BL_213,2027-03-06,RB Leipzig,FC Schalke 04,2.0,2.0
CURR_BL_214,2027-03-06,SC Paderborn 07,Borussia Mönchengladbach,2.0,2.0
CURR_BL_215,2027-03-06,1. FC Köln,1. FC Union Berlin,2.0,2.0
CURR_BL_216,2027-03-06,TSG 1899 Hoffenheim,SV Werder Bremen,2.0,2.0
CURR_BL_217,2027-03-13,1. FC Union Berlin,SC Freiburg,2.0,2.0
CURR_BL_218,2027-03-13,SV 07 Elversberg,Borussia Dortmund,2.0,2.0
CURR_BL_219,2027-03-13,Eintracht Frankfurt,SC Paderborn 07,2.0,2.0
CURR_BL_220,2027-03-13,FC Augsburg,RB Leipzig,2.0,2.0
CURR_BL_221,2027-03-13,Borussia Mönchengladbach,Hamburger SV,2.0,2.0
CURR_BL_222,2027-03-13,SV Werder Bremen,VfB Stuttgart,2.0,2.0
CURR_BL_223,2027-03-13,FC Schalke 04,TSG 1899 Hoffenheim,2.0,2.0
CURR_BL_224,2027-03-13,FC Bayern München,1. FSV Mainz 05,2.0,2.0
CURR_BL_225,2027-03-13,Bayer 04 Leverkusen,1. FC Köln,2.0,2.0
CURR_BL_226,2027-03-20,1. FC Köln,FC Bayern München,2.0,2.0
CURR_BL_227,2027-03-20,TSG 1899 Hoffenheim,Eintracht Frankfurt,2.0,2.0
CURR_BL_228,2027-03-20,Borussia Dortmund,Borussia Mönchengladbach,2.0,2.0
CURR_BL_229,2027-03-20,1. FSV Mainz 05,FC Augsburg,2.0,2.0
CURR_BL_230,2027-03-20,VfB Stuttgart,FC Schalke 04,2.0,2.0
CURR_BL_231,2027-03-20,RB Leipzig,1. FC Union Berlin,2.0,2.0
CURR_BL_232,2027-03-20,SC Freiburg,SV 07 Elversberg,2.0,2.0
CURR_BL_233,2027-03-20,Hamburger SV,SV Werder Bremen,2.0,2.0
